website,company_name,description,software_classification,enterprise_grade_classification,industry,customers_names_list,employee_headcount,investors,geography,parent_company,address_street,address_zip,address_city,address_country_region,finance,email,phone
https://www.beluxcomptafisc.lu/,BELUX COMPTAFISC SARL,"Belux Comptafisc S.àR.L. offers comprehensive accounting, tax, and payroll services for Luxembourgish companies and consulting services for international companies, including advice on establishing companies in Luxembourg and Belgium.",Service-based,SMB,"Accounting, Tax, Payroll Services",Not found,Not found,Not found,"Luxembourg, Belgium",Not found,Rue du Moulin à Vent 28,L-9541,WILTZ,Luxembourg,Not found,"denisf@beluxcomptafisc.lu, galaom@beluxcomptafisc.lu",00352 26 95 38 18
https://fbk.lu/en/management/,Fiduciaire Benoy Kartheiser,"Fiduciaire Benoy Kartheiser (FBK) is a Luxembourg-based fiduciary offering accounting and tax expertise, payroll services, and company domiciliation and management.  Established in 1939, it's the oldest chartered accountant fiduciary in Luxembourg.",Service-based,Enterprise,Finance,Not found,Not found,Not found,Luxembourg,Not found,"24, Saint Mathieu Street",L-2138,Luxembourg,Luxembourg,Not found,info@fbk.lu,+352 44 72 70
https://www.berenberg.de/en/,Berenberg,"Berenberg is one of Europe's leading privately owned banks, focusing on Wealth and Asset Management, Investment Banking, and Corporate Banking.  They offer investment solutions, including equity investments, risk management, and multi-asset portfolios, with a focus on ESG (environmental, social, and governance) factors.",Service-based,Enterprise,Finance,"Bloomsbury Publishing Plc, ACG Metals, Foresight Group, Mortgage Advice Bureau",1528,Not found,Europe,Not found,Not found,Not found,Not found,Not found,Net profit for the year 2025: €81.6 million; Total assets 2024: €6.4 billion; Equity 2024: €350 million; Return on equity (before taxes) 2024: 40.1%; Cost-income ratio 2024: 76.2%; Assets under management 2024: €39.0 billion,Not found,Not found
https://www.bergos.ch/,Bergos AG,"An independent, internationally operating Swiss private bank focused on protecting and growing private wealth.  Offers private banking services tailored to client needs and has additional services such as podcasts, art consultation, and market commentary.",Service-based,Enterprise,"Finance, Private Banking",Not found,Not found,Not found,"Switzerland (Zurich, Geneva)","Joh. Berenberg, Gossler & Co. KG (former parent company)",Kreuzstrasse 5,8008,Zurich,Switzerland,Not found,info@bergos.ch,+41 44 284 2020
https://www.berkeley-energy.com/,Berkeley Energy,"Berkeley Energy is a focused investor, developer, and deliverer of renewable power assets in developing markets. They provide engineering, management, and financial support to partner companies, acting as a bankable sponsor for renewable power projects.  Their approach is hands-on, asset-first, and technically oriented, focusing on equity investment in well-conceived and constructed projects.",Service-based,Enterprise,"Renewable Energy, Power Engineering, Investment",Not found,Not found,Not found,"United Kingdom, Mauritius, Singapore, Nairobi, Delhi, Manila",Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://www.berlin-chemie.de/en.html,Berlin-Chemie AG,"Berlin-Chemie is a pharmaceutical company, subsidiary of the Menarini Group, focused on health and life.  They operate in multiple therapeutic areas and have a presence in research and development.",Not found,Enterprise,Pharmaceutical,Not found,5000,Not found,"Germany, 96 countries (Menarini Group operates in 140 countries)",Menarini Group,Glienicker Weg 125,12489,Berlin,Germany,"€ 1,469 Billion Turnover (2023)",Not found,+49 (0)30 6707-0
https://www.bekb.ch/,Berner Kantonalbank AG (BEKB),"Berner Kantonalbank AG (BEKB) is a bank offering a wide range of financial services including accounts, cards, investments, mortgages, loans, and retirement planning. They also focus on sustainability and have a strong customer-centric approach.",Service-based,Enterprise,Finance,Not found,1001-5000,Not found,Switzerland,Not found,Bundesplatz 8,3001,Bern,Switzerland,Not found,Not found,Not found
https://bfconsulting.com/,BFC,"BFC is a management consulting company offering financial consultancy to banks and microfinance institutions in emerging markets. They build client-centric, data-driven, and innovative solutions, striving to help both the institutions they work with and their clients flourish.","Service-based, with a SaaS product (MasterAPS)",Enterprise,"Management Consulting, Financial Services, Fintech","Banque Misr, National Bank of Egypt (NBE), EBRD, Central Bank of Uzbekistan",95,Not found,"Emerging markets, Switzerland, Egypt, Jordan, Nepal, Tajikistan, Uzbekistan, Caucasus, Central Asia",Not found,Max-Högger-Strasse 6,8048,Zürich,Switzerland,Not found,info@bfconsulting.com,+41 44 784 22 22
https://www.linkedin.com/company/k-e-y-b-f-m-experts/about/,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
https://bfv-ag.de/,Bank für Vermögen,"The bank provides services to sophisticated investors, private bankers, fund managers, and financial service providers with a clear investment focus.",Service-based,Enterprise,Finance,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
